Datalogfile:;R103_IBN_TORGUE
2016-08-02 17:21:53
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
60;0.2374585;0.7822148;3.883716;-0.2739969;0.08650109;-0.01687326;;;
61;0.2461457;0.7692654;3.899591;-0.278897;0.08813888;-0.01992858;;;
62;0.2336852;0.7816724;3.903494;-0.2801141;0.08373373;-0.01536851;;;
63;0.2513977;0.7633556;3.887124;-0.2803837;0.09517416;-0.02017679;;;
64;0.2440656;0.7829652;3.912882;-0.2824599;0.0792397;-0.01495597;;;
65;0.2486719;0.8284342;3.906881;-0.2751285;0.08345311;-0.01542509;;;
66;0.2463561;0.7796386;3.901778;-0.2768264;0.0837798;-0.02033415;;;
67;0.2546678;0.7922754;3.880101;-0.2767788;0.08262834;-0.0199805;;;
68;0.239939;0.7623111;3.911434;-0.2712927;0.08273205;-0.02000508;;;
69;0.2375385;0.7560438;3.901448;-0.2701917;0.0850409;-0.01607067;;;
70;0.2413543;0.7839528;3.882622;-0.2702405;0.08637608;-0.01628;;;
71;0.2600182;0.7722299;3.89461;-0.2736489;0.08504976;-0.02040503;;;
72;0.2550672;0.77882;3.899041;-0.2773934;0.09150876;-0.01320231;;;
73;0.2530213;0.7749406;3.898075;-0.2750188;0.08221825;-0.02067706;;;
74;0.249489;0.7594054;3.876998;-0.2804819;0.08782533;-0.01718445;;;
75;0.2485041;0.7669269;3.881345;-0.2729384;0.0814861;-0.01954987;;;
76;0.2632334;0.7542369;3.91472;-0.2796887;0.0831095;-0.01100382;;;
77;0.2437403;0.754291;3.891166;-0.2847639;0.08642028;-0.01797622;;;
78;0.2331342;0.7480665;3.900662;-0.2721182;0.0898528;-0.02014941;;;
79;0.2409705;0.755064;3.914676;-0.2742047;0.08756573;-0.01526668;;;
80;0.2383153;0.7559195;3.892658;-0.2751223;0.08000239;-0.01366196;;;
81;0.2464683;0.7857001;3.906826;-0.284223;0.09290793;-0.01516435;;;
82;0.2246494;0.7570176;3.888579;-0.2868981;0.08787373;-0.01701943;;;
83;0.2555481;0.8051109;3.880473;-0.2750055;0.09188484;-0.01390241;;;
84;0.237392;0.7532894;3.902814;-0.2818096;0.08606877;-0.01600184;;;
85;0.2420725;0.7617851;3.897053;-0.2761085;0.09296793;-0.01710444;;;
86;0.2593381;0.7571906;3.90306;-0.2750815;0.09173212;-0.01447839;;;
87;0.2232966;0.8422196;3.950521;-0.2690585;0.08904339;-0.01802526;;;
88;0.1005177;1.538164;4.623557;-0.2642443;0.1260054;-0.008143007;;;
89;-0.2297708;2.052272;5.910113;-0.2284279;0.211232;0.008075111;;;
90;-0.4526121;2.896604;6.827866;-0.2340092;0.2686652;-0.002705324;;;
91;-0.6228564;3.911299;7.410233;-0.2205184;0.2678748;-0.007257744;;;
92;-0.7288755;4.805585;7.823972;-0.1974179;0.3133712;-0.0213917;;;
93;-0.8955122;5.604995;8.431565;-0.2246857;0.3246919;-0.021047;;;
94;-1.054266;6.342422;8.977625;-0.2332893;0.3390364;-0.02138813;;;
95;-1.218576;6.968512;9.474029;-0.2197504;0.3613252;-0.007761618;;;
96;-1.233013;7.216149;9.760747;-0.2141563;0.3642973;-0.01094476;;;
97;-1.304413;7.417406;10.0209;-0.2327897;0.395698;-0.01051699;;;
98;-1.29659;7.534266;10.32118;-0.1868618;0.4323871;-0.01034506;;;
99;-1.319297;7.785306;9.91532;-0.2203059;0.4105242;-0.02527797;;;
100;-1.348972;7.197885;9.1141;-0.1818906;0.4148897;-0.02386429;;;
101;-1.312214;6.754646;8.935008;-0.1887085;0.4472324;-0.02951698;;;
102;-1.312285;6.849984;8.578934;-0.1697959;0.4215772;-0.02605567;;;
103;-1.253091;6.235353;8.546873;-0.2030343;0.4331911;-0.03627403;;;
104;-1.32734;5.999407;7.70751;-0.1108293;0.4258929;-0.04639163;;;
105;-1.336279;5.43964;7.262388;-0.09468676;0.4674828;-0.03160087;;;
106;-1.308765;5.074835;7.677033;-0.1259463;0.4040968;-0.03614919;;;
107;-1.171734;5.218015;7.416172;-0.1069872;0.4376007;-0.04288577;;;
108;-1.20391;4.545692;7.088516;-0.1136076;0.4463389;-0.04267797;;;
109;-1.239148;4.981737;7.652263;-0.1341483;0.4016161;-0.01790525;;;
110;-1.207737;4.449006;7.602907;-0.1061128;0.3906628;-0.03672789;;;
111;-1.226798;4.595418;7.400842;-0.1036474;0.4066446;-0.02746731;;;
112;-1.216582;4.413191;7.453291;-0.07220091;0.4189572;-0.02323849;;;
113;-1.185493;4.414161;7.494862;-0.04398955;0.3965302;-0.03831777;;;
114;-1.148689;4.381154;7.487756;-0.04656473;0.3872265;-0.0329799;;;
115;-1.200361;3.960769;7.095126;-0.0536116;0.4187392;-0.02740921;;;
116;-1.16582;4.144413;7.841542;-0.09560858;0.4106343;-0.03623967;;;
117;-1.10486;3.579115;7.381379;-0.08456391;0.3952827;-0.02314001;;;
118;-1.222248;3.879558;7.462593;-0.07025816;0.3870881;-0.03532456;;;
