Datalogfile:;R101_IBN_TORGUE
2016-08-02 17:18:35
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
63;0.2219843;0.2858824;3.613152;-0.2322095;0.0725417;-0.003191092;;;
64;0.1895358;0.2774699;3.61376;-0.2351561;0.07965078;-0.0008631385;;;
65;0.175548;0.2802551;3.601713;-0.2293588;0.0753974;0.001559053;;;
66;0.1985435;0.2560584;3.60441;-0.2286056;0.07145479;-0.001738359;;;
67;0.1748608;0.2841541;3.60251;-0.2345622;0.08136439;-0.001873121;;;
68;0.1881261;0.2626121;3.594012;-0.2348064;0.07693888;-0.0011426;;;
69;0.1827274;0.283778;3.600351;-0.2300784;0.07343899;-0.00342354;;;
70;0.1963499;0.2559391;3.607932;-0.2340453;0.07756592;-0.004820381;;;
71;0.2117027;0.2540913;3.616517;-0.226363;0.07965721;0.0004776102;;;
72;0.17628;0.255538;3.608536;-0.231653;0.07250149;-0.0009813611;;;
73;0.2082235;0.2878077;3.594404;-0.2288231;0.07813073;-0.002862345;;;
74;0.1809775;0.2677656;3.604876;-0.2305961;0.07681702;-0.0004743625;;;
75;0.1926188;0.293389;3.610272;-0.2372709;0.0783124;-0.0005506841;;;
76;0.2110095;0.2860869;3.595148;-0.2347096;0.07611567;-0.0009651702;;;
77;0.1898531;0.2855581;3.599244;-0.2330479;0.07409128;-0.002236903;;;
78;0.1699631;0.2808024;3.615594;-0.2274547;0.07173718;-0.00147874;;;
79;0.2048175;0.2846161;3.594387;-0.2286983;0.07208671;-0.005953248;;;
80;0.1760468;0.2755128;3.605712;-0.2257534;0.06539466;-0.002574064;;;
81;0.1842999;0.3041155;3.592152;-0.2274854;0.07698558;-0.005302886;;;
82;0.1951952;0.2941533;3.607521;-0.2315475;0.0777833;-0.001452783;;;
83;0.1746329;0.285319;3.596502;-0.2313036;0.07391322;0.003673087;;;
84;0.2219287;0.2991966;3.613512;-0.223274;0.07621183;-0.003367847;;;
85;0.2050459;0.283352;3.584572;-0.2245086;0.07645776;-0.001667341;;;
86;0.1653969;0.2688854;3.605834;-0.2292202;0.07796887;-0.002464738;;;
87;0.1780414;0.2697249;3.599744;-0.2258721;0.07373048;0.0009720409;;;
88;0.1796438;0.273873;3.598079;-0.2271893;0.07185975;0.0006573529;;;
89;0.1842011;0.2639306;3.598089;-0.2303073;0.08179878;-0.006807321;;;
90;0.1901253;0.2873997;3.609895;-0.2274108;0.07961554;0.004716036;;;
91;0.1910833;0.2998917;3.591996;-0.2287128;0.07767817;-0.001563903;;;
92;0.1787508;0.2698149;3.59783;-0.2361688;0.07607514;0.0004921373;;;
93;0.1856749;0.2835035;3.616695;-0.2229508;0.08267409;0.003448318;;;
94;0.1838352;0.2721814;3.596224;-0.2335039;0.07721725;-0.0003079085;;;
95;0.1858464;0.2887054;3.585252;-0.2304995;0.08034763;-7.781247e-05;;;
96;0.1789812;0.2663547;3.607021;-0.2216112;0.0744983;0.003625566;;;
97;0.1884039;0.2752926;3.593034;-0.2346016;0.07347777;0.003255524;;;
98;0.1403324;0.7034109;3.883721;-0.2225107;0.08634058;0.003824239;;;
99;-0.2013541;1.915828;5.126305;-0.205179;0.1613475;0.01980107;;;
100;-0.6677448;2.674247;6.729584;-0.1872389;0.2462021;0.05017332;;;
101;-0.8710718;3.77711;7.466116;-0.1930388;0.2974068;0.003205443;;;
102;-0.9508319;4.395306;7.656067;-0.1744815;0.3030481;0.002282259;;;
103;-1.026573;5.033782;8.302754;-0.1623894;0.322863;-0.006755466;;;
104;-1.10603;5.744972;9.022696;-0.1763885;0.3550302;-0.008894618;;;
105;-1.146543;6.336912;9.346254;-0.1662378;0.3540797;-0.002783806;;;
106;-1.403757;6.836987;9.176807;-0.185451;0.3840277;-0.004599136;;;
107;-1.409186;6.982174;9.702841;-0.1912352;0.3824132;-0.01903335;;;
108;-1.442386;7.445763;9.287194;-0.1907176;0.3967392;-0.004169519;;;
109;-1.456119;7.033713;9.418193;-0.1776556;0.4276436;-0.006939254;;;
110;-1.376886;6.925107;9.732742;-0.1876436;0.4415822;-0.00342653;;;
111;-1.533779;6.81488;8.849966;-0.1544641;0.4356377;-0.008195189;;;
112;-1.394131;6.270475;8.147501;-0.1508393;0.4341223;-0.02385544;;;
113;-1.396749;6.136069;8.18256;-0.1381036;0.4329202;-0.0262964;;;
114;-1.349253;5.601887;7.771285;-0.1378745;0.436502;-0.0174171;;;
115;-1.332498;4.81104;7.190971;-0.1101718;0.4976907;-0.04007503;;;
116;-1.39215;4.981067;7.558018;-0.1153731;0.4401541;-0.02204027;;;
