; Regeln beim Editieren: 
; - Kommentarzeilen beginnen mit ";" reine Leerzeilen sind nicht erlaubt
; - maximal 20 einleitende Kommentarzeilen möglich, der Rest geht verloren
; - Zeilen ohne ";" am Anfang sind Wertezeilen !
; - in Wertezeilen: ein "=" schließt die Aufzählungshilfe ab
; - in Wertezeilen: ein ";" kennzeichnet den Namen, es werden nur ca. xx Zeichen angezeigt
; - die Gesamtanzahl der TOOLs nicht ändern: 0..8 werden erwartet
;
;      X        Y        Z        A        B         C       WS-TCP  ;Anzeigename
;-----------------------------------------------------------------------------------------
TCP0 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   0       ;NICHT VERÄNDERN !!! 
TCP1 =   0.00000  350.000  0.00000  0.00000  0.00000  0.00000   1       ;TCP self-protection
TCP2 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ; 
TCP3 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ; 
TCP4 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ; 
TCP5 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ; 
TCP6 =   0.00000  284.328 -96.7802  90.0000 -30.0000 -180.000   1       ;60mm ACP
TCP7 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP8 =   0.00000  294.330 -114.100  90.0000 -30.0000 -180.000   1       ;80mm ACP
TCP9 =   0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP10 =  0.00000  304.330 -131.420 -90.0000 -150.000  0.00000   1       ;100mm ACP
TCP11 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP12 =  0.00000  314.330 -148.740  90.0000 -30.0000 -180.000   1       ;120mm ACP
TCP13 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP14 =  0.00000  324.330 -166.060  90.0000 -30.0000 -180.000   1       ;140mm ACP
TCP15 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP16 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP17 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP18 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
TCP19 =  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000   1       ;
