Datalogfile:;R104_IBN_TORGUE
2016-08-02 17:29:17
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
53;-0.3144927;0.7755241;4.09303;0.2207606;-0.04127134;-0.01667573;;;
54;-0.3103192;0.7941573;4.082714;0.2213169;-0.04196246;-0.02280616;;;
55;-0.3173665;0.7760185;4.083985;0.2226212;-0.04142693;-0.01489957;;;
56;-0.3058624;0.8219886;4.103151;0.2170955;-0.04510004;-0.01822174;;;
57;-0.3262643;0.7626966;4.098091;0.2211717;-0.03945258;-0.01948367;;;
58;-0.3464182;0.7793483;4.085935;0.2243517;-0.04132624;-0.01976014;;;
59;-0.3167938;0.7907861;4.125998;0.2182399;-0.03625227;-0.01187293;;;
60;-0.304927;0.8186321;4.099523;0.2277215;-0.03552471;-0.02302989;;;
61;-0.3305952;0.7663272;4.095278;0.221203;-0.04430009;-0.01832855;;;
62;-0.3265466;0.7582198;4.096214;0.2303468;-0.04478054;-0.02264405;;;
63;-0.3237164;0.7795866;4.097201;0.222863;-0.03749906;-0.0188305;;;
64;-0.2941246;0.7846498;4.091424;0.2206241;-0.04316403;-0.02338532;;;
65;-0.311761;0.7515759;4.087585;0.2203414;-0.04648928;-0.01170954;;;
66;-0.3060054;0.7654135;4.102884;0.2245722;-0.03837478;-0.02139461;;;
67;-0.322011;0.7830099;4.093334;0.2258347;-0.03988121;-0.0126007;;;
68;-0.3166807;0.7809379;4.103565;0.2382157;-0.0457429;-0.02614319;;;
69;-0.293203;0.7773204;4.114892;0.2253721;-0.03588781;-0.01602185;;;
70;-0.3103276;0.792823;4.103896;0.2240489;-0.04729694;-0.02007635;;;
71;-0.300321;0.7620105;4.094005;0.2173405;-0.04277357;-0.01085321;;;
72;-0.3102467;0.7656527;4.095216;0.2269529;-0.04810319;-0.01358108;;;
73;-0.3371893;0.7665149;4.122562;0.2276331;-0.04668748;-0.01276622;;;
74;-0.3195708;0.7622901;4.110059;0.226854;-0.0398451;-0.01637517;;;
75;-0.2847124;0.7535985;4.101995;0.2260386;-0.04436265;-0.01592941;;;
76;-0.3006358;0.778776;4.107827;0.2224045;-0.04418344;-0.0209581;;;
77;-0.2965061;0.7413164;4.107971;0.2303357;-0.04967057;-0.0150728;;;
78;-0.3159285;0.7657439;4.112274;0.2244842;-0.0405491;-0.02017897;;;
79;-0.3119783;0.7326745;4.081203;0.2188025;-0.03514066;-0.01073354;;;
80;-0.3005506;0.7572877;4.098859;0.2371003;-0.04331772;-0.0113774;;;
81;-0.297861;0.7619706;4.09648;0.2329849;-0.05479064;-0.007167608;;;
82;-0.3121144;0.7751779;4.112553;0.2168876;-0.04354535;-0.01701178;;;
83;-0.3084303;0.8988319;4.174809;0.2255536;-0.03070609;-0.008242064;;;
84;-0.1323406;1.374546;4.935694;0.2120947;-0.0003935172;-0.009691305;;;
85;0.1103534;1.813724;5.855145;0.1810331;0.07382604;-0.02064155;;;
86;0.3054096;2.573285;6.397393;0.1438663;0.238319;-0.05982583;;;
87;0.5347229;3.452394;6.808601;0.07963543;0.2757033;-0.1074316;;;
88;0.7721006;4.110411;7.414282;0.04975375;0.3322465;-0.1668703;;;
89;0.9142208;4.796269;8.062485;0.04547666;0.4146802;-0.1693973;;;
90;0.9215869;5.258099;8.501316;0.05903632;0.4657323;-0.1991942;;;
91;0.9142171;5.844524;8.610423;0.04332895;0.4483716;-0.1917354;;;
92;1.134173;6.089127;9.029183;0.02336426;0.50779;-0.2026811;;;
93;1.356125;6.419616;9.155361;0.01130323;0.5284364;-0.2168033;;;
94;1.364918;6.70044;9.306002;-0.01727354;0.531893;-0.2202638;;;
95;1.417774;6.961024;10.12933;-0.04341955;0.5552878;-0.2259128;;;
96;1.505582;7.095158;10.03601;-0.09998691;0.5874098;-0.2515531;;;
97;1.466019;6.820363;9.174851;-0.09229677;0.6182334;-0.2465519;;;
98;1.56169;6.691203;9.351933;-0.1251804;0.5511612;-0.2489998;;;
99;1.313795;6.460484;9.296934;-0.1177797;0.5710264;-0.2780558;;;
100;1.517281;5.788725;8.608415;-0.1300108;0.5464924;-0.2660592;;;
101;1.262665;5.438283;8.008312;-0.2064385;0.5082746;-0.2680048;;;
102;1.235763;4.978348;7.826827;-0.1522459;0.4858553;-0.257054;;;
103;1.210691;5.006941;8.042004;-0.1468445;0.4973014;-0.2785101;;;
104;1.111285;4.586963;7.555037;-0.1593133;0.4785859;-0.2531092;;;
105;1.210983;4.428392;7.239817;-0.2203251;0.4486516;-0.2649899;;;
106;1.200063;4.548965;7.710821;-0.1837063;0.489932;-0.2898605;;;
107;1.259617;3.797636;7.463773;-0.1707816;0.4810211;-0.2672249;;;
108;1.16428;4.134544;7.365717;-0.2271886;0.4361901;-0.2491687;;;
109;1.204099;3.943809;7.549082;-0.2424112;0.4839801;-0.2652278;;;
110;1.250954;4.241212;7.927557;-0.2420662;0.4731405;-0.2631894;;;
111;1.144409;3.422469;7.116554;-0.2504265;0.4539263;-0.2522539;;;
112;1.000423;3.63336;7.416137;-0.2788942;0.5240157;-0.2469079;;;
113;1.093858;3.543268;7.621851;-0.2644969;0.484466;-0.2528958;;;
114;1.11078;3.467248;7.653389;-0.2874442;0.4793763;-0.2426704;;;
115;1.125529;3.156467;7.507575;-0.2993161;0.5127458;-0.2471749;;;
116;1.167482;3.28257;7.400555;-0.3314366;0.478777;-0.2520941;;;
117;0.9994134;3.312474;8.027092;-0.3039454;0.4893818;-0.2398663;;;
118;1.094133;2.921865;7.492036;-0.3452061;0.5065275;-0.2499127;;;
119;1.083836;2.819407;7.910865;-0.3836353;0.4748524;-0.2481225;;;
120;0.981662;2.701141;7.577961;-0.383969;0.5036252;-0.2356045;;;
121;1.047914;2.964276;7.686431;-0.3479809;0.4916341;-0.2371755;;;
122;1.062103;2.617274;7.368785;-0.4054939;0.4739085;-0.2309282;;;
